Phone_Number,State,Account_Length,Area_Code,International_Plan,Voice_Mail_Plan,Number_Vmail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,Customer_Service_Calls,Churn
380-3161,WI,133,C510,No,No,0,187,65,31.79,141.4,128,12.02,238.2,108,10.72,10,8,2.7,2,No
360-8135,KY,112,C415,No,No,0,170.5,113,28.99,193.2,129,16.42,188,91,8.46,11.2,6,3.02,0,No
399-5426,NY,87,C415,No,No,0,204.8,101,34.82,161,80,13.69,285.7,89,12.86,9.5,3,2.57,0,No
385-2564,MO,72,C415,No,No,0,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12,5,3.24,2,No
337-8618,AZ,66,C510,No,No,0,154,133,26.18,198.9,121,16.91,151.9,100,6.84,9.5,3,2.57,4,Yes
354-8491,MN,65,C510,No,Yes,29,158.1,104,26.88,322.2,81,27.39,210,96,9.45,8.9,6,2.4,1,No
394-6278,CO,74,C415,No,No,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,No
405-2276,MD,116,C408,No,No,0,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,Yes
376-1000,AR,68,C510,No,No,0,172.7,95,29.36,139.1,90,11.82,174.3,99,7.84,11.7,1,3.16,2,No
397-1659,TN,68,C415,No,No,0,222.8,99,37.88,175.8,85,14.94,202,111,9.09,11,3,2.97,3,No
379-3953,DE,54,C415,Yes,No,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,No
418-6512,TN,99,C408,No,No,0,54.8,92,9.32,173,103,14.71,195.1,125,8.78,7.5,3,2.03,1,No
392-5296,WI,107,C408,No,No,0,134,104,22.78,174.5,94,14.83,311.1,79,14,7.3,3,1.97,3,No
355-3814,WV,124,C510,No,No,0,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84,1,No
375-2098,CT,95,C415,No,Yes,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,No
372-7990,MN,173,C510,No,No,0,291.8,143,49.61,214.3,134,18.22,151.2,119,6.8,9.9,2,2.67,0,Yes
356-4558,MO,110,C408,No,No,0,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,No
398-5788,VA,102,C510,No,No,0,174.5,79,29.67,236.8,136,20.13,270.4,110,12.17,8.5,5,2.3,0,No
390-4003,NH,130,C408,No,No,0,68.4,86,11.63,193.3,110,16.43,171.5,139,7.72,10.4,4,2.81,0,No
332-8103,OK,91,C408,No,Yes,31,273,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1,No
406-9926,CT,64,C415,Yes,No,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1,Yes
418-2402,TN,176,C415,No,Yes,23,283.2,130,48.14,162.6,74,13.82,177.7,104,8,7.2,6,1.94,1,No
384-3299,MD,93,C510,Yes,No,0,131.4,78,22.34,219.7,106,18.67,155.7,103,7.01,11.1,2,3,1,Yes
378-9090,WI,84,C510,No,Yes,12,89.7,87,15.25,138.6,73,11.78,165.8,114,7.46,10.7,2,2.89,1,No
350-6473,SD,138,C510,No,No,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5,3,1.35,3,No
379-4583,ND,101,C415,No,Yes,28,105.9,132,18,231.7,107,19.69,281.3,120,12.66,10.7,5,2.89,1,No
411-5078,VA,136,C408,No,No,0,142.3,79,24.19,158,113,13.43,177.5,75,7.99,6,11,1.62,2,No
347-4982,UT,111,C510,No,No,0,191.3,80,32.52,138.5,94,11.77,246,107,11.07,6.4,3,1.73,2,No
341-9274,MA,132,C408,No,Yes,36,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,No
353-7461,SD,128,C415,No,No,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,No
371-7366,AL,92,C408,No,Yes,38,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,1,No
395-7923,AL,197,C415,Yes,No,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,Yes
351-8398,WV,191,C408,No,No,0,162,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,No
329-2204,SC,99,C415,No,Yes,33,179.1,93,30.45,238.3,102,20.26,165.7,96,7.46,10.6,1,2.86,2,No
407-7507,FL,106,C415,No,Yes,31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,No
405-8075,KY,88,C415,No,No,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2,No
390-9698,UT,78,C415,No,No,0,193.1,85,32.83,172.1,105,14.63,129.6,119,5.83,10.2,1,2.75,0,No
403-4917,NY,98,C408,No,No,0,171.7,99,29.19,174.8,87,14.86,189.6,130,8.53,7.8,6,2.11,1,No
391-6709,MS,17,C408,No,Yes,35,198.5,123,33.75,270.6,74,23,209.9,130,9.45,8.1,10,2.19,1,No
389-5988,NH,56,C415,No,Yes,24,121.7,87,20.69,184,76,15.64,266.6,98,12,12.7,3,3.43,1,No
372-1534,VA,84,C415,No,No,0,130.2,105,22.13,278,60,23.63,305.4,74,13.74,14,6,3.78,2,No
395-6369,VT,95,C510,No,No,0,203.4,96,34.58,168.6,61,14.33,173,105,7.79,13.7,3,3.7,2,No
400-3197,WY,16,C415,No,No,0,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,No
377-4169,NV,76,C510,Yes,No,0,241,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,Yes
384-5343,WV,93,C415,No,No,0,141.7,95,24.09,221,100,18.79,227.1,71,10.22,10.2,3,2.75,0,No
338-4472,WA,83,C408,No,No,0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,No
332-2126,KS,123,C415,No,No,0,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9,10,2.43,1,No
349-2157,VT,64,C408,No,No,0,145.5,116,24.74,228.4,110,19.41,273.4,91,12.3,8.9,8,2.4,1,No
393-4823,OK,82,C510,No,No,0,329.8,73,56.07,208.3,120,17.71,267.1,102,12.02,10.6,6,2.86,0,Yes
385-2683,GA,107,C510,No,No,0,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,2,No
345-8350,CO,110,C510,No,No,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1,No
334-4506,AK,96,C408,No,Yes,29,150,91,25.5,159.4,75,13.55,228.1,55,10.26,8.5,3,2.3,1,No
332-3544,TN,47,C415,No,Yes,30,196.6,93,33.42,241.4,140,20.52,226,118,10.17,12.9,4,3.48,2,No
380-5102,KY,115,C510,No,No,0,99.7,107,16.95,145.1,96,12.33,149.4,99,6.72,14.1,4,3.81,2,No
395-6149,PA,69,C415,No,No,0,143.6,88,24.41,141.8,86,12.05,194,83,8.73,10.8,5,2.92,3,No
398-8122,CT,163,C408,No,Yes,40,231.9,56,39.42,211.8,91,18,268.5,74,12.08,12.3,3,3.32,2,No
334-4438,CT,90,C415,No,No,0,37.8,80,6.43,155.3,105,13.2,175,111,7.88,14.2,5,3.83,3,No
384-7459,MN,98,C415,No,No,0,72.8,107,12.38,186.4,103,15.84,175.3,110,7.89,10.5,4,2.84,3,No
368-3931,WY,90,C408,No,Yes,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1,No
353-1352,PA,174,C415,No,Yes,15,221.8,143,37.71,210.6,115,17.9,221.8,109,9.98,12.4,9,3.35,1,No
348-5725,OR,95,C415,No,No,0,269,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,Yes
365-2008,PA,79,C415,No,No,0,268.3,114,45.61,185.5,111,15.77,264.6,88,11.91,6.3,7,1.7,1,Yes
393-3635,OK,123,C415,No,Yes,27,198.7,127,33.78,249,105,21.17,173.2,124,7.79,12.5,5,3.38,1,No
380-8727,VT,99,C415,No,No,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,Yes
381-2376,ID,114,C415,No,No,0,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,No
365-8114,PA,141,C510,No,No,0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,No
415-5008,NM,132,C408,No,No,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1,No
392-8318,FL,133,C510,No,No,0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6,4,1.62,0,No
401-4007,TX,133,C408,No,No,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,No
338-7709,VT,93,C510,No,Yes,32,218.7,117,37.18,115,61,9.78,192.7,85,8.67,9.4,5,2.54,2,No
374-1981,MA,34,C415,No,No,0,293.7,89,49.93,272.5,71,23.16,178.2,76,8.02,11,10,2.97,2,Yes
333-5101,OR,140,C415,No,No,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,Yes
345-3734,DE,96,C415,No,Yes,26,175.8,96,29.89,206.6,84,17.56,178,105,8.01,11.1,2,3,2,No
384-5004,FL,144,C510,No,No,0,278.5,95,47.35,240.7,90,20.46,120,90,5.4,11.6,5,3.13,1,Yes
341-9396,ID,24,C408,No,Yes,29,236.3,105,40.17,190.8,114,16.22,129,105,5.81,7.2,2,1.94,3,No
408-6302,MD,54,C415,No,No,0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,No
348-7193,WV,50,C408,No,No,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,Yes
417-4063,ID,92,C415,No,Yes,23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,No
375-6911,NV,96,C408,No,No,0,197.7,68,33.61,250.5,53,21.29,181.2,67,8.15,10.5,3,2.84,3,No
358-3604,OH,146,C415,No,No,0,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9,7,2.43,2,No
339-7485,ID,138,C415,Yes,Yes,17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16,0,No
368-3078,SC,102,C408,No,No,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,No
418-7055,MO,76,C510,No,No,0,129.7,84,22.05,177.5,80,15.09,228.9,87,10.3,7.5,3,2.03,5,Yes
386-9981,NE,99,C415,No,No,0,200,66,34,107.9,104,9.17,233.7,82,10.52,11.4,2,3.08,3,No
366-2541,NC,83,C510,No,Yes,36,95.9,87,16.3,261.6,105,22.24,228.6,109,10.29,13.3,4,3.59,0,No
335-3110,ME,36,C510,No,Yes,25,152.8,110,25.98,242.8,67,20.64,147.4,74,6.63,9.1,2,2.46,1,No
400-7809,MI,70,C510,No,No,0,129.9,102,22.08,208.7,133,17.74,231.4,93,10.41,14.3,3,3.86,1,No
404-3106,AZ,109,C415,Yes,No,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,Yes
333-2337,AZ,100,C415,No,No,0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,No
353-6482,HI,104,C408,No,No,0,170.6,97,29,162.1,111,13.78,210.7,131,9.48,6.1,1,1.65,1,No
397-8162,NJ,106,C415,No,No,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,No
380-6722,MS,84,C510,No,No,0,75.3,96,12.8,179.9,113,15.29,193.8,134,8.72,12.3,1,3.32,1,No
329-2918,MA,80,C510,No,No,0,149.8,123,25.47,276.3,75,23.49,241.4,75,10.86,10.9,7,2.94,2,No
348-8022,SC,100,C510,No,No,0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,No
388-4459,MN,99,C408,No,No,0,128.8,86,21.9,203.9,105,17.33,282.6,131,12.72,14.1,4,3.81,2,No
358-3114,WV,50,C510,No,No,0,131.7,108,22.39,216.5,103,18.4,196.1,126,8.82,11,5,2.97,1,No
343-9654,MS,105,C415,No,No,0,101.4,48,17.24,159.1,119,13.52,259.2,53,11.66,12.2,2,3.29,1,No
401-9909,VA,113,C415,No,Yes,23,149,104,25.33,235.8,67,20.04,201.8,76,9.08,9.5,5,2.57,4,No
404-9978,MS,111,C415,No,Yes,36,96.8,123,16.46,170.6,105,14.5,166,85,7.47,13.4,4,3.62,2,No
397-8011,NM,161,C408,No,No,0,107.5,121,18.28,256.4,46,21.79,247.2,131,11.12,12.6,3,3.4,2,No
341-8719,TX,70,C415,No,No,0,232.8,95,39.58,303.4,111,25.79,255.6,104,11.5,12.9,7,3.48,0,Yes
408-1242,HI,97,C415,No,Yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,No
406-7726,WA,130,C510,No,No,0,124.3,70,21.13,270.7,99,23.01,239.5,83,10.78,3.5,6,0.95,0,No
351-2773,WI,92,C415,No,No,0,157.7,101,26.81,298.6,100,25.38,216.9,99,9.76,13.8,3,3.73,1,No
368-6174,CO,119,C408,No,No,0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4,0,No
334-5029,NV,115,C415,No,No,0,286.4,125,48.69,205.7,74,17.48,191.4,141,8.61,6.9,6,1.86,1,Yes
413-1789,RI,134,C415,No,No,0,141.7,95,24.09,205.6,101,17.48,218.5,60,9.83,8.8,6,2.38,0,No
414-1246,VA,127,C408,No,Yes,25,173,91,29.41,245.8,64,20.89,300,99,13.5,4.8,3,1.3,0,No
330-4978,NJ,80,C415,No,No,0,268.7,120,45.68,301,147,25.59,167,140,7.52,5.8,1,1.57,2,Yes
386-1631,ND,153,C415,No,Yes,31,218.5,130,37.15,134.2,103,11.41,118.9,105,5.35,9.4,6,2.54,0,No
363-1208,MN,85,C415,No,No,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3.7,5,1,3,No
334-5263,HI,79,C415,No,No,0,41.9,124,7.12,211,95,17.94,237.9,55,10.71,11.4,5,3.08,1,No
361-4137,ND,35,C415,No,No,0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,No
374-8187,WI,120,C408,No,Yes,26,239.4,94,40.7,259.4,88,22.05,238,132,10.71,7.7,3,2.08,0,No
370-1525,MN,68,C510,No,No,0,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,No
355-3801,DC,60,C408,No,No,0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1,Yes
392-5605,KS,120,C510,No,No,0,158,110,26.86,197,103,16.75,154.9,132,6.97,10,5,2.7,1,No
363-1366,MT,71,C510,No,Yes,23,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1,No
358-5274,WV,124,C415,No,No,0,157.4,107,26.76,167.8,112,14.26,188.8,102,8.5,8.8,3,2.38,3,No
376-9607,ME,23,C510,No,No,0,113.1,74,19.23,168.8,95,14.35,262.9,126,11.83,6.9,2,1.86,1,Yes
374-1213,WY,225,C415,No,No,0,182.7,142,31.06,246.5,63,20.95,218,103,9.81,8.8,2,2.38,1,No
421-8537,NY,181,C415,Yes,No,0,161.3,83,27.42,124.4,83,10.57,262,98,11.79,14.1,3,3.81,0,Yes
351-5576,VT,63,C415,No,No,0,142.5,92,24.23,208.3,102,17.71,228.9,120,10.3,7.5,2,2.03,2,No
407-7258,NC,54,C415,Yes,No,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,2,Yes
405-4420,MO,80,C408,Yes,Yes,15,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,No
340-2855,NC,118,C408,Yes,Yes,39,153.8,106,26.15,123.3,111,10.48,117.8,103,5.3,9.2,6,2.48,1,No
342-8002,NJ,42,C408,Yes,No,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12,6,3.24,2,No
355-6826,OH,134,C408,No,No,0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,No
402-3886,TX,66,C415,No,Yes,35,190.8,100,32.44,261.3,93,22.21,209.5,108,9.43,8.9,6,2.4,0,No
336-5900,WA,66,C415,No,No,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2,No
339-7684,TN,127,C415,No,Yes,28,235.6,124,40.05,236.8,113,20.13,241.2,127,10.85,7.7,2,2.08,1,No
390-2433,HI,146,C510,No,No,0,189.3,77,32.18,155.9,128,13.25,186,83,8.37,7.4,3,2,0,No
360-7246,WY,93,C408,No,Yes,42,166.9,101,28.37,273.2,84,23.22,171,106,7.69,11.5,1,3.11,1,No
335-6508,CT,77,C415,No,No,0,245.2,87,41.68,254.1,83,21.6,239.4,91,10.77,7.5,4,2.03,0,Yes
348-6720,NM,111,C415,No,No,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,Yes
406-6400,NJ,125,C415,No,No,0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,No
390-7370,AL,115,C510,No,Yes,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2,No
390-5055,MN,115,C510,Yes,No,0,122,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,2,Yes
405-7542,NC,114,C408,No,No,0,193,101,32.81,250,81,21.25,133.3,79,6,9.6,2,2.59,2,No
364-4927,OH,106,C415,No,No,0,158.6,112,26.96,220,114,18.7,252.9,106,11.38,9.1,3,2.46,0,No
329-3458,ND,118,C415,No,Yes,39,91.5,125,15.56,219.9,113,18.69,229,99,10.31,12.7,8,3.43,2,No
331-3842,CO,59,C510,No,No,0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,No
343-4147,ND,87,C415,Yes,Yes,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,11.5,3,3.11,1,No
335-2274,NY,21,C415,No,No,0,244.7,81,41.6,168,117,14.28,281.5,87,12.67,6.6,1,1.78,1,No
343-3227,WI,142,C408,No,Yes,24,239.8,103,40.77,285.9,65,24.3,256.7,106,11.55,9.5,4,2.57,0,No
336-6907,WY,62,C415,No,No,0,172.4,132,29.31,230.5,100,19.59,228.2,109,10.27,11,5,2.97,0,No
331-1391,OR,149,C415,No,No,0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10,3,2.7,3,Yes
360-1643,CO,54,C510,No,Yes,39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,No
410-2518,LA,112,C510,No,No,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1,No
344-4970,AL,68,C510,No,No,0,157.3,83,26.74,220.9,85,18.78,218.9,129,9.85,12,7,3.24,1,No
408-1486,TX,201,C415,No,Yes,21,192,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,No
396-1648,PA,88,C510,No,No,0,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8,1,2.16,1,No
391-2022,IL,85,C415,No,Yes,29,144.6,97,24.58,140,102,11.9,165.4,148,7.44,10.9,3,2.94,1,No
420-6465,DE,51,C415,Yes,No,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0,Yes
398-2628,MO,45,C510,No,Yes,29,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,No
409-5519,AR,116,C510,No,No,0,160.7,69,27.32,146.8,106,12.48,287.8,144,12.95,8.2,5,2.21,0,No
391-8554,OH,146,C408,No,Yes,31,202.5,91,34.43,241.4,108,20.52,169.6,77,7.63,7.8,2,2.11,1,No
395-1693,WI,63,C510,No,Yes,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1,No
393-3194,GA,133,C510,No,No,0,227.4,90,38.66,73.2,135,6.22,114.3,99,5.14,4.7,7,1.27,0,No
328-3402,KY,125,C408,No,No,0,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,No
411-4781,OH,72,C510,No,No,0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,No
401-2581,TN,130,C408,No,No,0,127,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,No
385-1214,SD,97,C415,No,No,0,168.6,87,28.66,259.2,105,22.03,279.8,123,12.59,7.3,4,1.97,1,No
348-6853,NY,54,C415,No,No,0,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,11.5,5,3.11,1,Yes
341-8412,GA,160,C415,No,Yes,29,164.6,121,27.98,262.8,108,22.34,123.8,131,5.57,15.2,4,4.1,1,No
330-8142,TX,79,C415,No,No,0,144,90,24.48,135.8,91,11.54,212.4,129,9.56,13,4,3.51,1,No
361-1404,WV,92,C415,No,Yes,47,141.6,95,24.07,207.9,130,17.67,203.6,95,9.16,10.2,11,2.75,0,No
375-9671,MI,59,C415,No,No,0,204.3,65,34.73,247.3,123,21.02,214.7,94,9.66,12,4,3.24,1,No
372-1824,ND,132,C510,No,No,0,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,No
408-3606,NE,21,C510,No,No,0,225,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,No
333-3595,SD,93,C415,No,No,0,176.1,103,29.94,199.7,130,16.97,263.9,96,11.88,8.5,6,2.3,2,No
379-7009,NJ,147,C415,No,Yes,36,254.2,78,43.21,228.1,105,19.39,98,125,4.41,13.8,7,3.73,5,No
411-4940,AK,101,C510,No,No,0,174.9,105,29.73,262,75,22.27,210,93,9.45,8.5,5,2.3,1,No
409-7523,CT,125,C415,Yes,No,0,187.3,118,31.84,160.7,111,13.66,263.8,112,11.87,9.6,2,2.59,0,Yes
408-6725,CO,63,C415,No,No,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,10.7,9,2.89,3,No
350-2384,MD,107,C415,No,No,0,241.9,102,41.12,126.9,117,10.79,185.6,92,8.35,11.7,6,3.16,0,No
348-1706,ND,110,C408,No,No,0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,No
415-6145,NH,83,C415,No,No,0,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,12.4,2,3.35,3,No
373-3731,MN,117,C408,No,No,0,161.6,104,27.47,196.3,119,16.69,294.8,111,13.27,13.8,2,3.73,1,No
341-3349,KY,124,C415,No,No,0,194,103,32.98,241,116,20.49,227.5,153,10.24,11.9,5,3.21,0,No
399-8859,NH,115,C510,No,No,0,109.7,148,18.65,223.8,87,19.02,240.3,96,10.81,15.4,8,4.16,3,No
377-4518,CO,156,C408,Yes,No,0,277,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,No
341-1594,KY,89,C408,No,No,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0,No
418-8770,KY,72,C415,No,No,0,198.4,147,33.73,216.9,121,18.44,112.8,125,5.08,13.1,4,3.54,0,No
332-9118,IN,101,C415,No,Yes,42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,2.57,0,No
386-1418,OR,53,C415,No,No,0,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,No
393-3535,SD,116,C408,No,No,0,167.8,119,28.53,142,123,12.07,190.7,128,8.58,7.3,4,1.97,2,No
328-9006,DE,78,C408,No,No,0,139.2,140,23.66,191.4,113,16.27,286.5,125,12.89,11.8,3,3.19,3,No
402-2482,OR,117,C415,No,Yes,17,221.3,82,37.62,167.6,100,14.25,262.7,87,11.82,4.4,4,1.19,0,No
408-4865,NE,56,C510,No,No,0,121.6,84,20.67,165.3,115,14.05,243.9,95,10.98,8.9,2,2.4,1,No
396-6247,OH,123,C408,No,Yes,39,270.4,99,45.97,245.1,110,20.83,108.9,113,4.9,15.4,7,4.16,1,No
396-9462,OH,127,C408,No,No,0,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,No
396-9279,AR,116,C415,No,Yes,23,253,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,No
363-8715,KS,138,C510,No,Yes,26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15,3,4.05,1,No
356-1358,TX,120,C415,No,No,0,203.3,108,34.56,259.9,66,22.09,115.9,103,5.22,7.8,2,2.11,3,No
360-7839,WI,102,C408,No,No,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,7.7,2,2.08,3,No
364-8774,OR,95,C415,No,No,0,167.6,96,28.49,176,89,14.96,250.9,113,11.29,13.4,6,3.62,2,No
348-5038,VA,102,C408,No,No,0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,No
365-4728,AR,89,C415,No,Yes,25,215.1,140,36.57,197.4,69,16.78,162.1,117,7.29,10.6,10,2.86,1,No
351-9037,CT,50,C408,No,No,0,301.7,82,51.29,167.1,118,14.2,72.2,89,3.25,10.5,6,2.84,1,No
397-9184,OH,93,C415,No,Yes,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,No
398-4538,WY,68,C510,No,No,0,195.4,116,33.22,212.1,101,18.03,138.4,134,6.23,15.1,11,4.08,1,No
382-6827,IL,70,C408,No,No,0,208.7,97,35.48,275.5,83,23.42,182.5,122,8.21,8,3,2.16,2,No
408-1340,MO,138,C415,No,Yes,29,190.1,87,32.32,223.2,123,18.97,256.2,130,11.53,14.2,6,3.83,0,No
333-9511,DC,141,C415,No,Yes,37,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8,3,2.16,4,No
358-7379,MA,112,C415,No,Yes,17,183.2,95,31.14,252.8,125,21.49,156.7,95,7.05,9.7,3,2.62,0,No
397-1766,NH,117,C510,Yes,No,0,54.2,100,9.21,303.2,84,25.77,171.8,84,7.73,8.6,2,2.32,1,Yes
331-2144,IA,1,C408,No,Yes,26,208,115,35.36,185,113,15.73,177.7,144,8,8.1,9,2.19,1,No
345-7014,AL,70,C415,No,No,0,230.3,110,39.15,77.9,87,6.62,247.1,105,11.12,13.2,4,3.56,1,No
395-1898,OR,87,C510,No,Yes,22,240.8,102,40.94,75.9,106,6.45,224.6,115,10.11,7.1,3,1.92,2,No
373-8920,WV,52,C510,No,Yes,21,195.7,119,33.27,106.2,95,9.03,157.4,94,7.08,5.3,3,1.43,2,No
373-8908,WA,97,C408,No,No,0,276.1,82,46.94,201.1,106,17.09,231.3,73,10.41,8.9,4,2.4,0,Yes
415-1203,NV,105,C408,No,No,0,166.1,93,28.24,175.9,106,14.95,243.5,55,10.96,16.2,3,4.37,2,No
369-7017,SC,77,C510,No,Yes,28,135.9,117,23.1,244.5,102,20.78,207.5,74,9.34,11.5,3,3.11,4,Yes
420-8435,NC,80,C415,Yes,No,0,189.1,122,32.15,223.2,92,18.97,269,116,12.11,13.9,3,3.75,2,Yes
395-2579,NH,120,C510,No,Yes,43,177.9,117,30.24,175.1,70,14.88,161.3,117,7.26,11.5,4,3.11,1,No
405-7850,WY,54,C408,No,Yes,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,No
394-7710,FL,148,C510,Yes,No,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,No
